,NOC,Sport,count
844,CRO,Volleyball,11
845,CRO,Water Polo,77
846,CRO,Weightlifting,3
847,CRO,Wrestling,5
848,CRT,Athletics,10
849,CRT,Shooting,1
850,CUB,Archery,8
851,CUB,Art Competitions,3
852,CUB,Athletics,442
853,CUB,Badminton,1
854,CUB,Baseball,112
855,CUB,Basketball,121
856,CUB,Beach Volleyball,14
857,CUB,Boxing,126
858,CUB,Canoeing,52
859,CUB,Cycling,70
860,CUB,Diving,33
861,CUB,Fencing,180
862,CUB,Football,29
863,CUB,Gymnastics,386
864,CUB,Handball,27
865,CUB,Hockey,16
866,CUB,Judo,94
867,CUB,Modern Pentathlon,3
868,CUB,Rowing,131
869,CUB,Sailing,19
870,CUB,Shooting,94
871,CUB,Softball,15
872,CUB,Swimming,53
873,CUB,Synchronized Swimming,2
874,CUB,Table Tennis,18
875,CUB,Taekwondo,13
876,CUB,Volleyball,170
877,CUB,Water Polo,57
878,CUB,Weightlifting,67
879,CUB,Wrestling,123
880,CYP,Alpine Skiing,47
881,CYP,Archery,2
882,CYP,Athletics,67
883,CYP,Cycling,4
884,CYP,Gymnastics,6
885,CYP,Judo,12
886,CYP,Rhythmic Gymnastics,3
887,CYP,Sailing,25
888,CYP,Shooting,23
889,CYP,Swimming,31
890,CYP,Tennis,2
891,CYP,Weightlifting,1
892,CYP,Wrestling,2
893,CZE,Alpine Skiing,116
894,CZE,Archery,2
895,CZE,Athletics,183
896,CZE,Badminton,6
897,CZE,Basketball,36
898,CZE,Beach Volleyball,18
899,CZE,Biathlon,177
900,CZE,Bobsleigh,49
901,CZE,Boxing,7
902,CZE,Canoeing,105
903,CZE,Cross Country Skiing,206
904,CZE,Cycling,76
905,CZE,Diving,1
906,CZE,Equestrianism,2
907,CZE,Fencing,3
908,CZE,Figure Skating,25
909,CZE,Football,16
910,CZE,Freestyle Skiing,19
911,CZE,Golf,1
912,CZE,Gymnastics,50
913,CZE,Ice Hockey,134
914,CZE,Judo,16
