,Sport,Year,NOC,count
3577,Athletics,2012,AFG,2
3578,Athletics,2012,ALB,1
3579,Athletics,2012,ALG,7
3580,Athletics,2012,AND,2
3581,Athletics,2012,ANG,2
3582,Athletics,2012,ANT,3
3583,Athletics,2012,ARG,10
3584,Athletics,2012,ARM,4
3585,Athletics,2012,ASA,1
3586,Athletics,2012,AUS,55
3587,Athletics,2012,AUT,7
3588,Athletics,2012,AZE,3
3589,Athletics,2012,BAH,27
3590,Athletics,2012,BAN,1
3591,Athletics,2012,BAR,4
3592,Athletics,2012,BDI,3
3593,Athletics,2012,BEL,17
3594,Athletics,2012,BEN,2
3595,Athletics,2012,BER,2
3596,Athletics,2012,BIH,2
3597,Athletics,2012,BIZ,2
3598,Athletics,2012,BLR,48
3599,Athletics,2012,BOL,2
3600,Athletics,2012,BOT,3
3601,Athletics,2012,BRA,40
3602,Athletics,2012,BRN,11
3603,Athletics,2012,BRU,2
3604,Athletics,2012,BUL,9
3605,Athletics,2012,BUR,2
3606,Athletics,2012,CAF,2
3607,Athletics,2012,CAM,2
3608,Athletics,2012,CAN,46
3609,Athletics,2012,CAY,2
3610,Athletics,2012,CGO,2
3611,Athletics,2012,CHA,1
3612,Athletics,2012,CHI,8
3613,Athletics,2012,CHN,52
3614,Athletics,2012,CIV,4
3615,Athletics,2012,CMR,2
3616,Athletics,2012,COD,2
3617,Athletics,2012,COK,2
3618,Athletics,2012,COL,31
3619,Athletics,2012,COM,2
3620,Athletics,2012,CPV,2
3621,Athletics,2012,CRC,4
3622,Athletics,2012,CRO,9
3623,Athletics,2012,CUB,47
3624,Athletics,2012,CYP,4
3625,Athletics,2012,CZE,34
3626,Athletics,2012,DEN,6
3627,Athletics,2012,DJI,2
3628,Athletics,2012,DMA,2
3629,Athletics,2012,DOM,11
3630,Athletics,2012,ECU,13
3631,Athletics,2012,EGY,7
3632,Athletics,2012,ERI,11
3633,Athletics,2012,ESA,2
3634,Athletics,2012,ESP,46
3635,Athletics,2012,EST,11
3636,Athletics,2012,ETH,32
3637,Athletics,2012,FIJ,2
3638,Athletics,2012,FIN,17
3639,Athletics,2012,FRA,52
3640,Athletics,2012,FSM,2
3641,Athletics,2012,GAB,2
3642,Athletics,2012,GAM,2
3643,Athletics,2012,GBR,88
3644,Athletics,2012,GBS,2
3645,Athletics,2012,GEO,4
3646,Athletics,2012,GEQ,2
3647,Athletics,2012,GER,74
3648,Athletics,2012,GHA,2
3649,Athletics,2012,GRE,25
3650,Athletics,2012,GRN,6
3651,Athletics,2012,GUA,7
3652,Athletics,2012,GUI,2
3653,Athletics,2012,GUM,2
3654,Athletics,2012,GUY,3
3655,Athletics,2012,HAI,4
3656,Athletics,2012,HKG,5
3657,Athletics,2012,HON,2
3658,Athletics,2012,HUN,18
3659,Athletics,2012,INA,2
3660,Athletics,2012,IND,14
3661,Athletics,2012,IOA,2
3662,Athletics,2012,IRI,10
3663,Athletics,2012,IRL,24
3664,Athletics,2012,IRQ,2
3665,Athletics,2012,ISL,3
3666,Athletics,2012,ISR,3
3667,Athletics,2012,ISV,6
